Time           Event Type     Request ID     Core ID   Service Time   Remaining Time 
6574.04        Quantum_done   177            0         160.649        70.6494        
6574.94        Quantum_done   161            2         161.725        71.7245        
6642.2         Quantum_done   175            3         161.084        71.0838        
6642.54        Quantum_done   168            1         159.746        69.7464        
6669.04        Quantum_done   172            0         159.253        69.253         
6669.94        Quantum_done   169            2         160.332        70.3316        
6737.2         Quantum_done   179            3         160.247        70.247         
6737.54        Quantum_done   163            1         159.71         69.7103        
6764.04        Quantum_done   164            0         159.534        69.5336        
6764.94        Quantum_done   160            2         161.158        71.1585        
6832.2         Quantum_done   154            3         160.009        70.0088        
6832.54        Quantum_done   151            1         161.092        71.092         
6859.04        Quantum_done   165            0         160.03         70.0301        
6859.94        Quantum_done   153            2         160.261        70.2605        
6927.2         Quantum_done   167            3         160.874        70.8744        
6927.54        Quantum_done   173            1         160.853        70.8531        
6954.04        Quantum_done   156            0         160.659        70.6588        
6954.94        Quantum_done   171            2         160.352        70.3519        
7022.2         Quantum_done   155            3         161.723        71.7231        
7022.54        Quantum_done   159            1         160.111        70.1107        
7049.04        Quantum_done   166            0         161.049        71.0488        
7049.94        Quantum_done   170            2         160.79         70.7901        
7117.2         Quantum_done   174            3         159.544        69.5443        
7117.54        Quantum_done   176            1         159.417        69.4169        
7124.22        Departure      180            0         160.182        0              
7124.75        Departure      152            2         159.812        0              
7192.48        Departure      158            1         159.934        0              
7193.55        Departure      178            3         161.343        0              
7198.84        Departure      157            0         159.619        0              
7199.1         Departure      162            2         159.353        0              
7267.22        Departure      168            1         159.746        0              
7269.63        Departure      175            3         161.084        0              
7274.49        Departure      177            0         160.649        0              
7275.83        Departure      161            2         161.725        0              
7341.93        Departure      163            1         159.71         0              
7344.88        Departure      179            3         160.247        0              
7348.74        Departure      172            0         159.253        0              
7351.16        Departure      169            2         160.332        0              
7418.03        Departure      151            1         161.092        0              
7419.89        Departure      154            3         160.009        0              
7423.28        Departure      164            0         159.534        0              
7427.32        Departure      160            2         161.158        0              
7493.88        Departure      173            1         160.853        0              
7495.76        Departure      167            3         160.874        0              
7498.31        Departure      165            0         160.03         0              
7502.58        Departure      153            2         160.261        0              
7568.99        Departure      159            1         160.111        0              
7572.48        Departure      155            3         161.723        0              
7573.97        Departure      156            0         160.659        0              
7577.93        Departure      171            2         160.352        0              
7643.41        Departure      176            1         159.417        0              
7647.03        Departure      174            3         159.544        0              
7650.02        Departure      166            0         161.049        0              
7653.72        Departure      170            2         160.79         0              
7647.03        Arrival        4              3         159.379        159.379        
7643.41        Arrival        2              1         158.819        158.819        
7650.02        Arrival        3              0         161.325        161.325        
7653.72        Arrival        1              2         159.738        159.738        
8529.36        Arrival        6              3         159.611        159.611        
8529.9         Arrival        8              1         159.384        159.384        
8531.15        Arrival        5              0         160.922        160.922        
8531.8         Arrival        7              2         160.568        160.568        
8529.36        Quantum_done   4              3         159.379        69.3788        
8529.9         Quantum_done   2              1         158.819        68.8191        
8531.15        Quantum_done   3              0         161.325        71.325         
8531.8         Quantum_done   1              2         159.738        69.7384        
8624.36        Arrival        10             3         159.484        159.484        
8624.9         Arrival        11             1         160.26         160.26         
8626.15        Arrival        12             0         160.672        160.672        
8626.8         Arrival        9              2         159.779        159.779        
8624.36        Quantum_done   6              3         159.611        69.6111        
8624.9         Quantum_done   8              1         159.384        69.3844        
8626.15        Quantum_done   5              0         160.922        70.9224        
8626.8         Quantum_done   7              2         160.568        70.5677        
8698.73        Arrival        15             3         159.178        159.178        
8698.72        Arrival        14             1         159.037        159.037        
8702.48        Arrival        13             0         158.857        158.857        
8701.53        Arrival        16             2         160.034        160.034        
8698.72        Departure      2              1         158.819        0              
8698.73        Departure      4              3         159.379        0              
8701.53        Departure      1              2         159.738        0              
8702.48        Departure      3              0         161.325        0              
8793.73        Arrival        19             3         159.705        159.705        
8793.72        Arrival        18             1         159.242        159.242        
8797.48        Arrival        17             0         160.41         160.41         
8796.53        Arrival        20             2         160.951        160.951        
8793.72        Quantum_done   11             1         160.26         70.26          
